Data,ALPA4,BBDC3,BBDC4,BBAS3,BRKM5,CMIG4,ELET6,FESA4,FJTA4,GGBR4,GOAU4,INEP4,ITSA4,ITUB3,ITUB4,KLBN4,LIGT3,LAME4,MGEL4,PETR3,PETR4,RAPT4,SUZB5+SUZB3,VIVT3,VIVT4,UNIP6,VALE3
199011,1.9831599999999997e-06,1.18552e-06,1.24846e-06,2.29032e-05,2.79979e-05,8.095269999999999e-07,9.95e-06,1.40738e-06,1.28027e-05,9.96839e-07,1.55589e-06,0.00252173,4.11629e-07,4.29292e-07,4.977199999999999e-07,2.44338e-06,7.81515e-05,6.90442e-07,1.86315e-05,2.2459999999999998e-06,2.68921e-06,2.47673e-06,3.56475e-05,1.35541e-06,2.3224700000000002e-06,6.61821e-06,2.33339e-06
199012,1.9991499999999997e-06,1.30257e-06,1.3136700000000002e-06,2.5517199999999997e-05,2.83523e-05,8.095269999999999e-07,9.95e-06,1.34874e-06,1.25894e-05,9.95619e-07,1.55589e-06,0.00252173,4.1341900000000003e-07,4.43658e-07,5.76508e-07,2.35612e-06,8.23632e-05,6.90442e-07,2.03422e-05,2.2459999999999998e-06,2.84988e-06,2.55413e-06,3.59903e-05,1.31024e-06,2.17264e-06,6.33955e-06,2.36196e-06
199012,2.04713e-06,1.3119999999999999e-06,1.3136700000000002e-06,2.48948e-05,2.7430900000000002e-05,7.79545e-07,9.95e-06,1.34874e-06,1.25872e-05,1.0155100000000001e-06,1.55589e-06,0.002458291,4.09839e-07,4.39433e-07,5.42879e-07,2.35612e-06,8.610700000000001e-05,6.924729999999999e-07,2.15955e-05,2.14835e-06,2.75686e-06,2.47673e-06,3.59903e-05,1.3565399999999999e-06,2.3224700000000002e-06,6.26989e-06,2.4191e-06
199012,2.04713e-06,1.3119999999999999e-06,1.3231299999999999e-06,2.48948e-05,2.72891e-05,7.26176e-07,9.95e-06,1.34874e-06,1.28027e-05,1.0204799999999999e-06,1.55589e-06,0.0023781979999999998,4.15208e-07,4.90137e-07,5.669e-07,2.35612e-06,9.172270000000001e-05,6.90442e-07,2.15955e-05,2.2459999999999998e-06,2.62156e-06,2.47673e-06,3.48477e-05,1.3565399999999999e-06,2.3224700000000002e-06,6.200219999999999e-06,2.28577e-06
199012,2.04713e-06,1.3119999999999999e-06,1.3372999999999999e-06,2.42725e-05,2.66512e-05,7.195799999999999e-07,9.95e-06,1.3780600000000002e-06,1.28027e-05,1.00804e-06,1.38919e-06,0.002299691,4.02681e-07,4.90137e-07,5.573879999999999e-07,2.34739e-06,8.610700000000001e-05,6.90442e-07,2.15955e-05,2.2459999999999998e-06,2.68921e-06,2.3219299999999997e-06,3.48477e-05,1.36106e-06,2.0977200000000004e-06,6.1389199999999995e-06,2.23815e-06
199012,2.04713e-06,1.32144e-06,1.3372999999999999e-06,2.48948e-05,2.66512e-05,6.29632e-07,9.95e-06,1.40739e-06,1.28027e-05,1.0205e-06,1.38919e-06,0.002260041,3.84784e-07,4.81686e-07,5.42879e-07,2.34739e-06,9.359459999999999e-05,6.90442e-07,2.2019e-05,2.14835e-06,2.60464e-06,2.47673e-06,3.31339e-05,1.41189e-06,2.0228e-06,6.26989e-06,2.19053e-06
199012,2.1111e-06,1.32144e-06,1.3231200000000002e-06,2.42725e-05,2.72891e-05,6.05087e-07,9.95e-06,1.5246600000000002e-06,1.28049e-05,1.01426e-06,1.38919e-06,0.0022203920000000003,3.57938e-07,4.81686e-07,5.47683e-07,2.22522e-06,0.000101082,6.90442e-07,2.11721e-05,2.14835e-06,2.66384e-06,2.47673e-06,3.31339e-05,1.35541e-06,2.0228e-06,5.85189e-06,2.19053e-06
199012,2.23905e-06,1.27425e-06,1.3231200000000002e-06,2.4148000000000003e-05,2.6863800000000002e-05,6.11138e-07,9.95e-06,1.5246600000000002e-06,1.3016099999999999e-05,1.0578299999999998e-06,1.38919e-06,0.0022203920000000003,3.3109299999999996e-07,4.90137e-07,5.669e-07,2.09433e-06,0.000104826,6.90442e-07,2.11721e-05,2.0507e-06,2.6689e-06,2.3219299999999997e-06,3.31339e-05,1.35541e-06,2.0228e-06,5.4339e-06,2.19053e-06
199012,2.23905e-06,1.23649e-06,1.2522399999999999e-06,2.3650100000000002e-05,2.55171e-05,6.05087e-07,9.95e-06,1.5246600000000002e-06,1.55767e-05,1.0590600000000001e-06,1.33362e-06,0.0022203920000000003,3.22144e-07,4.985869999999999e-07,5.62096e-07,2.07688e-06,0.00010669799999999999,6.924729999999999e-07,2.11806e-05,2.0507e-06,2.51162e-06,2.3219299999999997e-06,3.08488e-05,1.35541e-06,2.17264e-06,5.4339e-06,2.0952900000000002e-06
199012,2.33501e-06,1.21762e-06,1.2522399999999999e-06,2.4023499999999998e-05,2.56589e-05,6.35342e-07,6.82813e-06,1.5833100000000002e-06,1.53633e-05,1.06404e-06,1.33362e-06,0.001982492,3.2751300000000003e-07,4.985869999999999e-07,5.669e-07,2.0507e-06,0.00010857,6.90442e-07,2.11721e-05,2.0507e-06,2.66384e-06,2.3219299999999997e-06,3.08488e-05,1.35541e-06,2.17264e-06,5.57323e-06,2.19053e-06
